0: Clever
1: CourtesyGoodBye
2: CourtesyGreeting
3: CourtesyGreetingResponse
4: CurrentHumanQuery
5: GoodBye
6: Gossip
7: Greeting
8: GreetingResponse
9: Jokes
10: NameQuery
11: NotTalking2U
12: PodBayDoor
13: PodBayDoorResponse
14: RealNameQuery
15: SelfAware
16: Shutup
17: Swearing
18: Thanks
19: TimeQuery
20: UnderstandQuery
21: WhoAmI
22: account_help
23: atis_abbreviation
24: atis_aircraft
25: atis_aircraft#atis_flight#atis_flight_no
26: atis_airfare
27: atis_airfare#atis_flight_time
28: atis_airline
29: atis_airline#atis_flight_no
30: atis_airport
31: atis_capacity
32: atis_cheapest
33: atis_city
34: atis_distance
35: atis_flight
36: atis_flight#atis_airfare
37: atis_flight_no
38: atis_flight_time
39: atis_ground_fare
40: atis_ground_service
41: atis_ground_service#atis_ground_fare
42: atis_meal
43: atis_quantity
44: atis_restriction
45: business_hours
46: cancellation
47: order_status
48: password_reset
49: payment_update
50: return_request
51: service_info
52: technical_support
