,precision,recall,f1_score,support
0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,1
2,0.0,0.0,0.0,1
3,0.0,0.0,0.0,1
4,0.0,0.0,0.0,1
5,0.0,0.0,0.0,1
6,0.0,0.0,0.0,1
7,0.0,0.0,0.0,1
8,0.0,0.0,0.0,1
9,0.0,0.0,0.0,1
10,0.0,0.0,0.0,1
11,0.0,0.0,0.0,1
12,0.0,0.0,0.0,1
13,0.0,0.0,0.0,1
14,0.0,0.0,0.0,1
15,0.0,0.0,0.0,1
16,0.0,0.0,0.0,1
17,0.0,0.0,0.0,1
18,0.0,0.0,0.0,1
19,0.0,0.0,0.0,1
20,0.0,0.0,0.0,1
21,0.0,0.0,0.0,1
23,0.0,0.0,0.0,16
24,0.0,0.0,0.0,12
26,0.0,0.0,0.0,60
28,0.0,0.0,0.0,22
30,0.0,0.0,0.0,3
31,0.0,0.0,0.0,2
33,0.0,0.0,0.0,3
34,0.0,0.0,0.0,3
35,0.7178770949720671,1.0,0.8357723577235773,514
36,0.0,0.0,0.0,3
37,0.0,0.0,0.0,2
38,0.0,0.0,0.0,8
39,0.0,0.0,0.0,3
40,0.0,0.0,0.0,35
42,0.0,0.0,0.0,1
43,0.0,0.0,0.0,7
44,0.0,0.0,0.0,1
